source,target,type,explanation,status,sourceUrl,activeFrom,activeTo
shin-etsu,tsmc,SUPPLIES,TSMC identifies Shin-Etsu Handotai as a silicon-wafer supplier supporting advanced-material development and production.,confirmed,https://pr.tsmc.com/system/files/newspdf/attachment/d35a3490c76e4dd278e9975c4785daa0e415edc4/2022%20Excellent%20Performance%20Award%20Press%20Release%20%28E%29_final_wmn.pdf,,
sumco,samsung-foundry,SUPPLIES,Samsung Electronics recognized SUMCO as a supplier with consecutive Best Partner awards for its silicon-wafer business.,confirmed,https://www.sumcosi.com/english/csr/pdf/csr_rep15en.pdf,,
jsr,tsmc,SUPPLIES,TSMC recognizes JSR for lithography-material development and production support.,confirmed,https://pr.tsmc.com/system/files/newspdf/attachment/d35a3490c76e4dd278e9975c4785daa0e415edc4/2022%20Excellent%20Performance%20Award%20Press%20Release%20%28E%29_final_wmn.pdf,,
asml,tsmc,PROVIDES_EQUIPMENT_TO,EUV systems enable advanced process nodes.,confirmed,https://www.asml.com/en/news/stories/2022/busting-asml-myths,,
asml,samsung-foundry,PROVIDES_EQUIPMENT_TO,EUV lithography supports advanced logic.,confirmed,https://www.asml.com/en/news/stories/2022/busting-asml-myths,,
asml,intel-foundry,PROVIDES_EQUIPMENT_TO,EUV and High-NA systems support leading-edge roadmaps.,confirmed,https://www.asml.com/en/news/press-releases/2026/high-na-euv-reaches-new-readiness-milestone,,
applied-materials,tsmc,PROVIDES_EQUIPMENT_TO,Deposition and process equipment support wafer fabrication.,confirmed,https://pr.tsmc.com/system/files/newspdf/attachment/855e25066dbc50b8b1fb227027996bb56183da2a/2024%20Supply%20Chain%20Management%20Forum%20Press%20Release%20%28E%29_Final_wmn.pdf,,
lam-research,tsmc,PROVIDES_EQUIPMENT_TO,Etch and deposition systems shape chip structures.,confirmed,https://pr.tsmc.com/english/news/3086,,
kla,tsmc,PROVIDES_EQUIPMENT_TO,Inspection and metrology control defects.,confirmed,https://pr.tsmc.com/english/news/3086,,
tokyo-electron,tsmc,PROVIDES_EQUIPMENT_TO,Coat/develop and etch systems support patterning.,confirmed,https://pr.tsmc.com/english/news/3086,,
screen,tsmc,PROVIDES_EQUIPMENT_TO,Wafer cleaning is used between process steps.,confirmed,https://pr.tsmc.com/system/files/newspdf/attachment/855e25066dbc50b8b1fb227027996bb56183da2a/2024%20Supply%20Chain%20Management%20Forum%20Press%20Release%20%28E%29_Final_wmn.pdf,,
disco,ase,PROVIDES_EQUIPMENT_TO,ASE has recognized DISCO as an outstanding supplier; DISCO provides dicing and grinding equipment used in semiconductor packaging.,confirmed,https://www.disco.co.jp/jp/corporate/outline/prizes.html,,
advantest,sk-hynix,PROVIDES_EQUIPMENT_TO,Industry reporting identifies Advantest as an incumbent wafer-tester supplier in SK hynix’s memory supply chain.,reported,https://www.thelec.net/news/articleView.html?idxno=5202,,
synopsys,nvidia,PARTNERS_WITH,NVIDIA and Synopsys disclose a strategic engineering and design partnership; the public evidence does not establish a simple one-way supply relationship.,confirmed,https://nvidianews.nvidia.com/news/nvidia-and-synopsys-announce-strategic-partnership-to-revolutionize-engineering-and-design,,
cadence,broadcom,SUPPLIES,Broadcom publicly states that it uses a portfolio of Cadence solutions across its business units.,confirmed,https://www.cadence.com/en_US/home/company/newsroom/press-releases/pr/2023/cadence-collaborates-with-broadcom-to-implement-ai-driven.html,,
tsmc,nvidia,MANUFACTURES,NVIDIA and TSMC jointly disclosed that TSMC manufactures NVIDIA-designed processors.,confirmed,https://pr.tsmc.com/english/news/1408,,
tsmc,amd,MANUFACTURES,AMD identifies TSMC as the foundry manufacturing its newest IC products and its 7nm-and-smaller CPU and GPU portfolio.,confirmed,https://ir.amd.com/financial-information/sec-filings/content/0000002488-26-000018/amd-20251227.htm,,
tsmc,google-tpu,MANUFACTURES,Representative foundry relationship for Google accelerators.,reported,https://www.itpro.com/infrastructure/tpus-googles-home-advantage,,
tsmc,aws-trainium,MANUFACTURES,Representative foundry relationship for AWS custom silicon.,reported,https://techcrunch.com/2026/03/22/an-exclusive-tour-of-amazons-trainium-lab-the-chip-thats-won-over-anthropic-openai-even-apple/,,
