id,name,operator,city,country,latitude,longitude,coordinate_precision,status,campus_type,capacity_mw,facilities,description,services,source_url,verified_on,notes
airtrunk-tok1,TOK1 Tokyo East,AirTrunk,Inzai,Japan,35.8323,140.1458,locality,Operational,Hyperscale campus,300,,Large-scale hyperscale campus serving the Tokyo market.,Hyperscale cloud; high-density computing,https://airtrunk.com/locations/,2026-09-03,Operator publishes the market and campus name; point is centered on the disclosed locality.
airtrunk-tok2,TOK2 Tokyo West,AirTrunk,Tokyo West,Japan,35.6762,139.4500,metro,Under development,Hyperscale campus,110,,Second AirTrunk campus in the Tokyo market.,Hyperscale cloud; high-density computing,https://airtrunk.com/locations/,2026-09-03,Generalized west-Tokyo point; exact building coordinate is not asserted.
airtrunk-osk1,OSK1 Osaka West,AirTrunk,Osaka,Japan,34.6937,135.4023,metro,Under development,Hyperscale campus,,,AirTrunk hyperscale campus in the west Osaka market.,Hyperscale cloud; high-density computing,https://airtrunk.com/locations/,2026-09-03,Metro-level point.
airtrunk-osk2,OSK2 Osaka Downtown East,AirTrunk,Osaka,Japan,34.6937,135.5523,metro,Planned,Hyperscale campus,,,AirTrunk expansion in Osaka's eastern downtown market.,Hyperscale cloud; high-density computing,https://airtrunk.com/locations/,2026-09-03,Metro-level point.
airtrunk-hkg1,HKG1 Tsing Yi,AirTrunk,Tsing Yi,Hong Kong,22.3489,114.1071,locality,Operational,Hyperscale campus,20,,Hyperscale campus in Hong Kong's Tsing Yi industrial area.,Hyperscale cloud; high-density computing,https://airtrunk.com/locations/,2026-09-03,Locality-level point.
airtrunk-hkg2,HKG2 East New Territories,AirTrunk,New Territories,Hong Kong,22.4456,114.1932,region,Under development,Hyperscale campus,,,Expansion campus in Hong Kong's East New Territories.,Hyperscale cloud; high-density computing,https://airtrunk.com/locations/,2026-09-03,Regional point; exact locality is not asserted.
airtrunk-sgp1,SGP1 Loyang,AirTrunk,Loyang,Singapore,1.3731,103.9727,locality,Operational,Hyperscale campus,78,,Large hyperscale campus in eastern Singapore.,Hyperscale cloud; high-density computing,https://airtrunk.com/locations/,2026-09-03,Locality-level point.
airtrunk-sgp2,SGP2 Singapore,AirTrunk,Singapore,Singapore,1.3521,103.8198,city,Planned,Hyperscale campus,,,Second Singapore hyperscale campus.,Hyperscale cloud; high-density computing,https://airtrunk.com/locations/,2026-09-03,City-level point.
airtrunk-jhb1,JHB1 Johor Bahru,AirTrunk,Johor Bahru,Malaysia,1.4927,103.7414,metro,Operational,Hyperscale campus,,,Hyperscale campus in the fast-growing Johor market.,Hyperscale cloud; high-density computing,https://airtrunk.com/locations/,2026-09-03,Metro-level point.
airtrunk-jhb2,JHB2 Johor Bahru,AirTrunk,Johor Bahru,Malaysia,1.5327,103.7014,metro,Under development,Hyperscale campus,,,Second AirTrunk campus in Johor Bahru.,Hyperscale cloud; high-density computing,https://airtrunk.com/locations/,2026-09-03,Offset metro-level point for legibility.
airtrunk-jhb3,JHB3 Johor Bahru,AirTrunk,Johor Bahru,Malaysia,1.4527,103.7014,metro,Planned,Hyperscale campus,,,Third AirTrunk campus in Johor Bahru.,Hyperscale cloud; high-density computing,https://airtrunk.com/locations/,2026-09-03,Offset metro-level point for legibility.
airtrunk-jhb4,JHB4 Johor Bahru,AirTrunk,Johor Bahru,Malaysia,1.4527,103.7814,metro,Planned,Hyperscale campus,,,Fourth AirTrunk campus in Johor Bahru.,Hyperscale cloud; high-density computing,https://airtrunk.com/locations/,2026-09-03,Offset metro-level point for legibility.
airtrunk-bom1,BOM1 Mumbai,AirTrunk,Mumbai,India,19.0760,72.8777,metro,Planned,Hyperscale campus,,,AirTrunk hyperscale campus in the Mumbai market.,Hyperscale cloud; high-density computing,https://airtrunk.com/locations/,2026-09-03,Metro-level point.
airtrunk-bom2,BOM2 Mumbai,AirTrunk,Mumbai,India,19.1160,72.8377,metro,Planned,Hyperscale campus,,,Second AirTrunk campus in Mumbai.,Hyperscale cloud; high-density computing,https://airtrunk.com/locations/,2026-09-03,Offset metro-level point for legibility.
airtrunk-bom3,BOM3 Mumbai,AirTrunk,Mumbai,India,19.0360,72.8377,metro,Planned,Hyperscale campus,,,Third AirTrunk campus in Mumbai.,Hyperscale cloud; high-density computing,https://airtrunk.com/locations/,2026-09-03,Offset metro-level point for legibility.
airtrunk-maa1,MAA1 Chennai,AirTrunk,Chennai,India,13.0827,80.2707,metro,Planned,Hyperscale campus,,,AirTrunk hyperscale campus in Chennai.,Hyperscale cloud; high-density computing,https://airtrunk.com/locations/,2026-09-03,Metro-level point.
airtrunk-hyd1,HYD1 Hyderabad,AirTrunk,Hyderabad,India,17.3850,78.4867,metro,Planned,Hyperscale campus,,,AirTrunk hyperscale campus in Hyderabad.,Hyperscale cloud; high-density computing,https://airtrunk.com/locations/,2026-09-03,Metro-level point.
ntt-cyberjaya,NTT Cyberjaya Campus,NTT DATA,Cyberjaya,Malaysia,2.9213,101.6559,locality,Operational,Multi-building campus,,3,Campus comprising Cyberjaya 4 5 and 6 data centers.,Colocation; carrier-neutral connectivity; managed infrastructure,https://services.global.ntt/en-us/services-and-products/global-data-centers/global-locations/asia-pacific,2026-09-03,Facilities grouped as one campus-level point.
ntt-bangkok,NTT Bangkok Campus,NTT DATA,Bangkok,Thailand,13.6900,100.7501,metro,Operational,Metro campus,,3,Bangkok footprint comprising Bangkok 1 2 and 3.,Colocation; carrier-neutral connectivity; high-density racks,https://services.global.ntt/en-us/services-and-products/global-data-centers/global-locations/asia-pacific/bangkok-data-centers,2026-09-03,Metro-level point; facilities span the Bangkok area.
ntt-jakarta,NTT Jakarta Campus,NTT DATA,Jakarta,Indonesia,-6.2088,106.8456,metro,Operational,Metro campus,,3,Jakarta footprint comprising Jakarta 2 2 Annex and 3.,Colocation; carrier-neutral connectivity; managed infrastructure,https://services.global.ntt/en-us/services-and-products/global-data-centers/global-locations/asia-pacific,2026-09-03,Metro-level point.
