entityId,nodes
chatgpt,"[""chatgpt"",""openai"",""vllm"",""azure"",""nvidia"",""sk-hynix"",""tsmc"",""asml""]"
perplexity,"[""perplexity"",""openai"",""vllm"",""aws"",""nvidia"",""sk-hynix"",""tsmc"",""asml""]"
claude-code,"[""claude-code"",""anthropic"",""vllm"",""aws"",""aws-trainium"",""sk-hynix"",""tsmc"",""asml""]"
cursor,"[""cursor"",""anthropic"",""vllm"",""aws"",""nvidia"",""sk-hynix"",""tsmc"",""asml""]"
nvidia-isaac,"[""nvidia-isaac"",""pytorch"",""cuda"",""nvidia"",""sk-hynix"",""tsmc"",""asml"",""photoresists""]"
step-3-5-flash,"[""step-3-5-flash"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
intern-s2-preview,"[""intern-s2-preview"",""lmdeploy"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
baichuan-m4,"[""baichuan-m4"",""baichuan-ai"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
kling-3,"[""kling-3"",""kuaishou-kling"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
vidu-q3,"[""vidu-q3"",""shengshu-vidu"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
wan-2-7,"[""wan-2-7"",""alibaba-cloud""]"
longcat-2,"[""longcat-2"",""sglang"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
sensenova-6-7,"[""sensenova-6-7"",""sensetime"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
gpt-5-6-sol,"[""gpt-5-6-sol"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
claude-fable-5,"[""claude-fable-5"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
gemini-3-7-flash,"[""gemini-3-7-flash"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
llama-4-scout,"[""llama-4-scout"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
kimi-k3,"[""kimi-k3"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
mistral-medium-3-5,"[""mistral-medium-3-5"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
flux-1,"[""flux-1"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
olmo-2,"[""olmo-2"",""vllm"",""cuda"",""nvidia"",""tsmc"",""asml"",""photoresists"",""silicon""]"
