id,model_family,source_region,target_region,path_type,network_name,confidence,source_url,flow_direction,flow_label,notes
qwen-bj-hk,qwen,qwen-beijing,qwen-hong-kong,logical_cloud_backbone,Alibaba Cloud CEN,logical,https://www.alibabacloud.com/help/en/model-studio/access-model-studio-through-privatelink/,source_to_target,model deployment and API traffic,Illustrative direction; not observed live traffic or a physical fiber route.
qwen-hk-sg,qwen,qwen-hong-kong,qwen-singapore,logical_cloud_backbone,Alibaba Cloud CEN,logical,https://www.alibabacloud.com/help/en/model-studio/access-model-studio-through-privatelink/,source_to_target,model deployment and API traffic,Illustrative direction; not observed live traffic or a physical fiber route.
qwen-sg-tokyo,qwen,qwen-singapore,qwen-tokyo,logical_cloud_backbone,Alibaba Cloud CEN,logical,https://www.alibabacloud.com/help/en/model-studio/access-model-studio-through-privatelink/,source_to_target,model deployment and API traffic,Illustrative direction; not observed live traffic or a physical fiber route.
qwen-hk-frankfurt,qwen,qwen-hong-kong,qwen-frankfurt,logical_cloud_backbone,Alibaba Cloud CEN,logical,https://www.alibabacloud.com/help/en/model-studio/access-model-studio-through-privatelink/,source_to_target,model deployment and API traffic,Illustrative direction; not observed live traffic or a physical fiber route.
qwen-frankfurt-virginia,qwen,qwen-frankfurt,qwen-virginia,logical_cloud_backbone,Alibaba Cloud CEN,logical,https://www.alibabacloud.com/help/en/model-studio/access-model-studio-through-privatelink/,source_to_target,model deployment and API traffic,Illustrative direction; not observed live traffic or a physical fiber route.
qwen-office-beijing,qwen,qwen-hangzhou-office,qwen-beijing,logical_organization_connection,Alibaba model operations,logical,https://www.alibabagroup.com/en-US/about-alibaba-businesses-1951035128754995200,source_to_target,model operations,Illustrative organizational connection between headquarters and a documented service region.
qwen-office-singapore,qwen,qwen-singapore-office,qwen-singapore,logical_organization_connection,Alibaba Cloud international operations,logical,https://www.alibabacloud.com/en/about,source_to_target,model operations,Illustrative organizational connection between international headquarters and a documented service region.
hunyuan-office-beijing,hunyuan,hunyuan-shenzhen-office,hunyuan-beijing,logical_organization_connection,Tencent Cloud,logical,https://cloud.tencent.com/document/product/1729/101841,source_to_target,API access,Illustrative direction from model organization to published API access region.
hunyuan-beijing-shanghai,hunyuan,hunyuan-beijing,hunyuan-shanghai,logical_cloud_backbone,Tencent Cloud,logical,https://intl.cloud.tencent.com/document/product/213/6091?lang=en,source_to_target,regional service distribution,Illustrative connectivity; not observed traffic.
hunyuan-shanghai-guangzhou,hunyuan,hunyuan-shanghai,hunyuan-guangzhou,logical_cloud_backbone,Tencent Cloud,logical,https://intl.cloud.tencent.com/document/product/213/6091?lang=en,source_to_target,regional service distribution,Illustrative connectivity; not observed traffic.
doubao-office-beijing,doubao,doubao-beijing-office,doubao-beijing,logical_organization_connection,Volcano Engine Ark,logical,https://www.volcengine.com/product/doubao,source_to_target,API access,Illustrative connection to the documented Beijing API region.
