id,name,operator,network_type,color,confidence,description,source_url
chinanet,ChinaNet,China Telecom,commercial backbone,#f2b84b,logical,"China Telecom's national public Internet backbone. The displayed links connect documented national backbone interconnection hubs and are a logical representation, not surveyed conduit routes.",https://www.cac.gov.cn/2014-02/26/c_126195316.htm
cn2,China Telecom CN2,China Telecom,premium commercial backbone,#f08c46,logical,"China Telecom's premium IP backbone. Only a logical Beijing–Shanghai–Guangzhou core is shown because public physical route geometry is unavailable.",https://www.ctamericas.com/wp-content/uploads/2023/02/China-Telecom-Global-Infrastructure-Map.pdf
china169,China Unicom China169,China Unicom,commercial backbone,#bd79e6,logical,"China Unicom's public Internet backbone. The displayed links connect documented national backbone interconnection hubs and do not claim physical fiber alignment.",https://www.cac.gov.cn/2014-02/26/c_126195316.htm
cuii,China Unicom CUII,China Unicom,premium commercial backbone,#9c6fe3,logical,"China Unicom's international and premium backbone. The displayed Beijing–Shanghai–Guangzhou core is logical.",https://www.cac.gov.cn/2014-02/26/c_126195316.htm
cmnet,CMNET,China Mobile,commercial backbone,#59c9f1,logical,"China Mobile's national Internet backbone. The displayed links connect documented national backbone interconnection hubs and are logical rather than physical routes.",https://www.cac.gov.cn/2014-02/26/c_126195316.htm
cmi,China Mobile International,China Mobile,international backbone,#35a9df,logical,"China Mobile International's connectivity into mainland backbone hubs. The displayed domestic core is a logical representation.",https://mainwebapi.cmi.chinamobile.com/uploads/template/202310273c5756c2ad770d0dda80d752ccf4112a.pdf
china-broadnet,China Broadnet backbone,China Broadnet,broadcast and internet backbone,#e66588,logical,"China Broadnet is a recognized Internet backbone operator interconnected at national exchange points. Detailed physical routes are not public.",https://www.nrta.gov.cn/art/2018/6/12/art_114_38173.html
cernet,CERNET,China Education and Research Network,education and research backbone,#50d890,documented_topology,"CERNET's published national education and research backbone. Links follow its public topology diagram but not exact fiber alignments.",https://pkucc50.pku.edu.cn/docs/20131014093804829713.pdf
cernet2,CNGI-CERNET2,China Education and Research Network,native IPv6 research backbone,#23b99a,documented_topology,"The nationwide native-IPv6 research backbone, published as a mesh of 41 POPs. Representative core links are shown from public CERNET topology material.",https://cerecp.cernet.edu.cn/en/topology/cernet.shtml
cstnet,CSTNET,China Science and Technology Network,science and research backbone,#79b86b,logical,"CSTNET reports backbone coverage across more than 30 provinces with 13 operating centers. Connections shown between those centers are logical because its fiber alignments are not public.",https://www.cstnet.cn/runing
