id,model_id,model_name,provider,region_name,region_id,city,country,latitude,longitude,deployment_scope,workload_role,evidence,source_url,workload_source_url,notes
qwen-beijing,qwen,Qwen family,Alibaba Cloud,China (Beijing),cn-beijing,Beijing,China,39.9042,116.4074,Chinese mainland,managed_training_and_inference,documented_service_region,https://www.alibabacloud.com/help/en/model-studio/regions/,https://www.alibabacloud.com/help/en/model-studio/model-training-and-deployment-billing,Model Studio documents Qwen training and dedicated deployment in this region; this is not proof of the original pretraining building.
qwen-hong-kong,qwen,Qwen family,Alibaba Cloud,China (Hong Kong),cn-hongkong,Hong Kong,China,22.3193,114.1694,Global / Hong Kong,inference_service_region,documented_service_region,https://www.alibabacloud.com/help/en/model-studio/regions/,,City-level service region; requests may be forwarded within the selected deployment scope.
qwen-singapore,qwen,Qwen family,Alibaba Cloud,Singapore,ap-southeast-1,Singapore,Singapore,1.3521,103.8198,International excluding Chinese mainland,managed_training_and_inference,documented_service_region,https://www.alibabacloud.com/help/en/model-studio/regions/,https://www.alibabacloud.com/help/en/model-studio/model-training-and-deployment-billing,Model Studio documents Qwen training and dedicated deployment in this region; not an exact building.
qwen-tokyo,qwen,Qwen family,Alibaba Cloud,Japan (Tokyo),ap-northeast-1,Tokyo,Japan,35.6762,139.6503,Global / Japan,inference_service_region,documented_service_region,https://www.alibabacloud.com/help/en/model-studio/regions/,,City-level service region; not an exact data-center building.
qwen-frankfurt,qwen,Qwen family,Alibaba Cloud,Germany (Frankfurt),eu-central-1,Frankfurt,Germany,50.1109,8.6821,Global / EU,inference_service_region,documented_service_region,https://www.alibabacloud.com/help/en/model-studio/regions/,,City-level service region; not an exact data-center building.
qwen-virginia,qwen,Qwen family,Alibaba Cloud,US (Virginia),us-east-1,Ashburn,United States,39.0438,-77.4874,Global / US,inference_service_region,documented_service_region,https://www.alibabacloud.com/help/en/model-studio/regions/,,Ashburn is a map anchor for the published Virginia region; not an exact facility.
hunyuan-beijing,hunyuan,Tencent Hunyuan,Tencent Cloud,Beijing,ap-beijing,Beijing,China,39.9042,116.4074,API access,inference_access_region,documented_access_region,https://cloud.tencent.com/document/product/1729/101841,,Tencent warns that an API access region does not prove the actual service location.
hunyuan-shanghai,hunyuan,Tencent Hunyuan,Tencent Cloud,Shanghai,ap-shanghai,Shanghai,China,31.2304,121.4737,API access,inference_access_region,documented_access_region,https://cloud.tencent.com/document/product/1729/101841,,Tencent warns that an API access region does not prove the actual service location.
hunyuan-guangzhou,hunyuan,Tencent Hunyuan,Tencent Cloud,Guangzhou,ap-guangzhou,Guangzhou,China,23.1291,113.2644,API access,inference_access_region,documented_access_region,https://cloud.tencent.com/document/product/1729/101841,,Tencent warns that an API access region does not prove the actual service location.
doubao-beijing,doubao,Doubao / Seed,Volcano Engine,Beijing,cn-beijing,Beijing,China,39.9042,116.4074,Ark API access,inference_access_region,documented_access_region,https://api.volcengine.com/api-docs/view?action=DescribeBaasAIModels&serviceCode=aidap&version=2025-10-01,,Official Ark examples use the cn-beijing endpoint; this is not an exact serving facility.
