id,campus_id,backbone_node_id,national_hub_id,network_scope,confidence,distance_to_backbone_km,distance_to_national_hub_km,relationship,description,source_url,methodology_url,verified_on
access-alibaba-hangzhou,alibaba-hangzhou,hangzhou,hub-yangtze-eco,Alibaba Cloud private WAN plus undisclosed licensed carrier access,inferred_last_mile,0,122,nearest documented backbone hub and national computing cluster,"Cartographic access link from Alibaba Cloud Hangzhou Region to Hangzhou, the nearest mapped backbone hub. This does not identify its contracted carrier or physical fiber route.",https://www.alibabacloud.com/help/en/cloud-migration-guide-for-beginners/latest/regions-and-zones,https://www.ndrc.gov.cn/xxgk/jd/jd/202202/t20220217_1315795_ext.html,2026-09-03
access-alibaba-shanghai,alibaba-shanghai,shanghai,hub-yangtze-eco,Alibaba Cloud private WAN plus undisclosed licensed carrier access,inferred_last_mile,0,45,nearest documented backbone hub and national computing cluster,"Cartographic access link from Alibaba Cloud Shanghai Region to Shanghai, the nearest mapped backbone hub. This does not identify its contracted carrier or physical fiber route.",https://www.alibabacloud.com/help/en/cloud-migration-guide-for-beginners/latest/regions-and-zones,https://www.ndrc.gov.cn/xxgk/jd/jd/202202/t20220217_1315795_ext.html,2026-09-03
access-alibaba-qingdao,alibaba-qingdao,jinan,hub-wuhu,Alibaba Cloud private WAN plus undisclosed licensed carrier access,inferred_last_mile,299,554,nearest documented backbone hub and national computing cluster,"Cartographic access link from Alibaba Cloud Qingdao Region to Jinan, the nearest mapped backbone hub. This does not identify its contracted carrier or physical fiber route.",https://www.alibabacloud.com/help/en/cloud-migration-guide-for-beginners/latest/regions-and-zones,https://www.ndrc.gov.cn/xxgk/jd/jd/202202/t20220217_1315795_ext.html,2026-09-03
access-alibaba-beijing,alibaba-beijing,beijing,hub-zhangjiakou,Alibaba Cloud private WAN plus undisclosed licensed carrier access,inferred_last_mile,0,161,nearest documented backbone hub and national computing cluster,"Cartographic access link from Alibaba Cloud Beijing Region to Beijing, the nearest mapped backbone hub. This does not identify its contracted carrier or physical fiber route.",https://www.alibabacloud.com/help/en/cloud-migration-guide-for-beginners/latest/regions-and-zones,https://www.ndrc.gov.cn/xxgk/jd/jd/202202/t20220217_1315795_ext.html,2026-09-03
access-alibaba-zhangjiakou,alibaba-zhangjiakou,beijing,hub-zhangjiakou,Alibaba Cloud private WAN plus undisclosed licensed carrier access,inferred_last_mile,161,0,nearest documented backbone hub and national computing cluster,"Cartographic access link from Alibaba Cloud Zhangjiakou Region to Beijing, the nearest mapped backbone hub. This does not identify its contracted carrier or physical fiber route.",https://www.alibabacloud.com/help/en/cloud-migration-guide-for-beginners/latest/regions-and-zones,https://www.ndrc.gov.cn/xxgk/jd/jd/202202/t20220217_1315795_ext.html,2026-09-03
access-alibaba-hohhot,alibaba-hohhot,beijing,hub-horinger,Alibaba Cloud private WAN plus undisclosed licensed carrier access,inferred_last_mile,408,52,nearest documented backbone hub and national computing cluster,"Cartographic access link from Alibaba Cloud Hohhot Region to Beijing, the nearest mapped backbone hub. This does not identify its contracted carrier or physical fiber route.",https://www.alibabacloud.com/help/en/cloud-migration-guide-for-beginners/latest/regions-and-zones,https://www.ndrc.gov.cn/xxgk/jd/jd/202202/t20220217_1315795_ext.html,2026-09-03
access-alibaba-ulanqab,alibaba-ulanqab,beijing,hub-horinger,Alibaba Cloud private WAN plus undisclosed licensed carrier access,inferred_last_mile,302,130,nearest documented backbone hub and national computing cluster,"Cartographic access link from Alibaba Cloud Ulanqab Region to Beijing, the nearest mapped backbone hub. This does not identify its contracted carrier or physical fiber route.",https://www.alibabacloud.com/help/en/cloud-migration-guide-for-beginners/latest/regions-and-zones,https://www.ndrc.gov.cn/xxgk/jd/jd/202202/t20220217_1315795_ext.html,2026-09-03
access-alibaba-wuhan,alibaba-wuhan,wuhan,hub-wuhu,Alibaba Cloud private WAN plus undisclosed licensed carrier access,inferred_last_mile,0,402,nearest documented backbone hub and national computing cluster,"Cartographic access link from Alibaba Cloud Wuhan Local Region to Wuhan, the nearest mapped backbone hub. This does not identify its contracted carrier or physical fiber route.",https://www.alibabacloud.com/help/en/cloud-migration-guide-for-beginners/latest/regions-and-zones,https://www.ndrc.gov.cn/xxgk/jd/jd/202202/t20220217_1315795_ext.html,2026-09-03
access-alibaba-shenzhen,alibaba-shenzhen,shenzhen,hub-shaoguan,Alibaba Cloud private WAN plus undisclosed licensed carrier access,inferred_last_mile,0,256,nearest documented backbone hub and national computing cluster,"Cartographic access link from Alibaba Cloud Shenzhen Region to Shenzhen, the nearest mapped backbone hub. This does not identify its contracted carrier or physical fiber route.",https://www.alibabacloud.com/help/en/cloud-migration-guide-for-beginners/latest/regions-and-zones,https://www.ndrc.gov.cn/xxgk/jd/jd/202202/t20220217_1315795_ext.html,2026-09-03
access-alibaba-heyuan,alibaba-heyuan,shenzhen,hub-shaoguan,Alibaba Cloud private WAN plus undisclosed licensed carrier access,inferred_last_mile,149,163,nearest documented backbone hub and national computing cluster,"Cartographic access link from Alibaba Cloud Heyuan Region to Shenzhen, the nearest mapped backbone hub. This does not identify its contracted carrier or physical fiber route.",https://www.alibabacloud.com/help/en/cloud-migration-guide-for-beginners/latest/regions-and-zones,https://www.ndrc.gov.cn/xxgk/jd/jd/202202/t20220217_1315795_ext.html,2026-09-03
access-alibaba-guangzhou,alibaba-guangzhou,guangzhou,hub-shaoguan,Alibaba Cloud private WAN plus undisclosed licensed carrier access,inferred_last_mile,0,190,nearest documented backbone hub and national computing cluster,"Cartographic access link from Alibaba Cloud Guangzhou Region to Guangzhou, the nearest mapped backbone hub. This does not identify its contracted carrier or physical fiber route.",https://www.alibabacloud.com/help/en/cloud-migration-guide-for-beginners/latest/regions-and-zones,https://www.ndrc.gov.cn/xxgk/jd/jd/202202/t20220217_1315795_ext.html,2026-09-03
access-alibaba-chengdu,alibaba-chengdu,chengdu,hub-tianfu,Alibaba Cloud private WAN plus undisclosed licensed carrier access,inferred_last_mile,0,19,nearest documented backbone hub and national computing cluster,"Cartographic access link from Alibaba Cloud Chengdu Region to Chengdu, the nearest mapped backbone hub. This does not identify its contracted carrier or physical fiber route.",https://www.alibabacloud.com/help/en/cloud-migration-guide-for-beginners/latest/regions-and-zones,https://www.ndrc.gov.cn/xxgk/jd/jd/202202/t20220217_1315795_ext.html,2026-09-03
access-alibaba-zhongwei,alibaba-zhongwei,lanzhou,hub-zhongwei,Alibaba Cloud private WAN plus undisclosed licensed carrier access,inferred_last_mile,201,0,nearest documented backbone hub and national computing cluster,"Cartographic access link from Alibaba Cloud Zhongwei Region to Lanzhou, the nearest mapped backbone hub. This does not identify its contracted carrier or physical fiber route.",https://www.alibabacloud.com/help/en/cloud-migration-guide-for-beginners/latest/regions-and-zones,https://www.ndrc.gov.cn/xxgk/jd/jd/202202/t20220217_1315795_ext.html,2026-09-03
