id,type,name,operator,city,country,latitude,longitude,role,capacity_or_scale,hardware_or_resource,evidence,source_url,notes
power-zhangbei,power,Zhangbei renewable-energy base,State Grid,Zhangjiakou,China,41.15,114.70,Wind and solar supply for Beijing-region demand,Large regional renewable base,Wind and solar,regional_public_source,https://www.sgcc.com.cn/,Map anchor represents the renewable-energy area rather than one generating plant.
power-mengxi,power,Western Inner Mongolia energy base,Inner Mongolia power system,Ordos,China,39.61,109.78,Power source for northern compute clusters,Regional energy base,Coal wind and solar,regional_public_source,https://www.nea.gov.cn/,Generation mix and contracted data-center supply vary by project.
power-ningxia,power,Ningxia renewable-energy base,State Grid Ningxia,Zhongwei,China,37.50,105.20,Power source near Zhongwei computing cluster,Regional energy base,Solar wind and thermal generation,regional_public_source,https://www.nea.gov.cn/,Not a claim that every nearby campus purchases the same electricity.
power-gansu,power,Gansu renewable-energy base,State Grid Gansu,Qingyang,China,35.71,107.64,Power source near Qingyang computing cluster,Regional energy base,Wind solar and thermal generation,regional_public_source,https://www.nea.gov.cn/,City-level strategic anchor.
power-guizhou,power,Guizhou hydro-rich grid,China Southern Power Grid,Gui'an,China,26.46,106.47,Low-carbon electricity context for Gui'an cluster,Provincial grid context,Hydropower plus provincial mix,regional_public_source,https://eng.csg.cn/,Not a facility-specific power purchase agreement.
power-sichuan,power,Sichuan hydro-rich grid,State Grid Sichuan,Chengdu,China,30.57,104.07,Electricity context for Chengdu computing demand,Provincial grid context,Hydropower plus provincial mix,regional_public_source,https://www.sgcc.com.cn/,Not a direct traced circuit.
fab-tsmc-hsinchu,semiconductor,TSMC Hsinchu manufacturing base,TSMC,Hsinchu,Taiwan,24.81,120.97,Advanced logic manufacturing,Multiple fabs,Advanced foundry logic,company_location,https://www.tsmc.com/english/aboutTSMC/company_profile,City-level manufacturing-base anchor.
fab-tsmc-tainan,semiconductor,TSMC Southern Taiwan Science Park,TSMC,Tainan,Taiwan,23.10,120.28,Advanced logic manufacturing,Multiple fabs,Advanced foundry logic,company_location,https://www.tsmc.com/english/aboutTSMC/company_profile,Science-park anchor rather than a building entrance.
fab-samsung-pyeongtaek,semiconductor,Samsung Pyeongtaek Campus,Samsung Electronics,Pyeongtaek,South Korea,37.01,127.05,Logic and memory manufacturing,Mega-campus,Logic DRAM and NAND,company_location,https://semiconductor.samsung.com/about-us/locations/korea/,Campus-level corporate location.
fab-sk-icheon,semiconductor,SK hynix Icheon Campus,SK hynix,Icheon,South Korea,37.27,127.44,Memory manufacturing,Major manufacturing campus,DRAM and NAND,company_location,https://www.skhynix.com/company/UI-FR-CP05/,Campus-level corporate location.
fab-smic-shanghai,semiconductor,SMIC Shanghai manufacturing base,SMIC,Shanghai,China,31.20,121.61,Domestic foundry manufacturing,Multiple fabs,Logic foundry,company_location,https://www.smics.com/en/site/company_summary,City-level company manufacturing anchor.
fab-ymtc-wuhan,semiconductor,YMTC Wuhan manufacturing base,YMTC,Wuhan,China,30.47,114.42,Domestic memory manufacturing,Major manufacturing base,3D NAND,company_location,https://www.ymtc.com/en/,City-level company manufacturing anchor.
fab-cxmt-hefei,semiconductor,CXMT Hefei manufacturing base,CXMT,Hefei,China,31.82,117.23,Domestic memory manufacturing,Major manufacturing base,DRAM,company_location,https://www.cxmt.com/en/,City-level company manufacturing anchor.
gateway-shanghai,cable_gateway,Shanghai international connectivity gateway,Multiple licensed carriers,Shanghai,China,31.23,121.47,International and domestic traffic aggregation,Metro gateway,Fiber and cable systems,metro_inference,https://bbmaps.itu.int/bbmaps/,Gateway role is metropolitan and does not identify one landing building.
gateway-hong-kong,cable_gateway,Hong Kong cable and cloud gateway,Multiple carriers,Hong Kong,China,22.32,114.17,Major Asian interconnection and submarine-cable gateway,Regional gateway,Submarine cable and carrier interconnection,documented_ecosystem,https://bbmaps.itu.int/bbmaps/,Distributed across multiple landing stations and facilities.
gateway-singapore,cable_gateway,Singapore cable and cloud gateway,Multiple carriers,Singapore,Singapore,1.35,103.82,Major Southeast Asian interconnection hub,Regional gateway,Submarine cable and carrier interconnection,documented_ecosystem,https://bbmaps.itu.int/bbmaps/,Distributed metro ecosystem.
gateway-tokyo,cable_gateway,Tokyo regional cloud gateway,Multiple carriers,Tokyo,Japan,35.68,139.65,Northeast Asian cloud and interconnection hub,Regional gateway,Carrier and cloud interconnection,documented_ecosystem,https://www.peeringdb.com/,Metro-level anchor.
gateway-mumbai,cable_gateway,Mumbai cable and cloud gateway,Multiple carriers,Mumbai,India,19.08,72.88,South Asian cloud and submarine-cable gateway,Regional gateway,Submarine cable and carrier interconnection,documented_ecosystem,https://bbmaps.itu.int/bbmaps/,Metro-level anchor.
risk-luzon,hazard,Luzon Strait cable concentration,Multiple cable systems,Luzon Strait,Philippines,20.5,121.2,Shared geographic exposure for East Asian cable routes,Regional chokepoint,Earthquake typhoon and marine activity,geographic_risk,https://www.itu.int/digital-resilience/submarine-cables/,Risk zone is generalized and does not predict individual failures.
risk-taiwan,hazard,Taiwan seismic and cable exposure zone,Multiple infrastructure operators,Taiwan,Taiwan,23.7,121.0,Concentrated semiconductor and connectivity exposure,Regional risk zone,Earthquake typhoon and cable concentration,geographic_risk,https://www.itu.int/digital-resilience/submarine-cables/,Generalized resilience context.
risk-malacca,hazard,Strait of Malacca connectivity chokepoint,Multiple cable and shipping operators,Malacca Strait,Malaysia,2.8,101.2,Shared corridor near major Southeast Asian infrastructure,Regional chokepoint,Marine traffic and route concentration,geographic_risk,https://www.itu.int/digital-resilience/submarine-cables/,Generalized resilience context.
