id,name,hub_region,cluster_name,city,province,latitude,longitude,role,status,description,source_url,verified_on,coordinate_precision
hub-zhangjiakou,Beijing–Tianjin–Hebei hub,Beijing–Tianjin–Hebei,Zhangjiakou cluster,Zhangjiakou,Hebei,40.7675,114.8860,National computing hub and data-center cluster,Operational,Serves northern and Beijing-region demand with large-scale western-adjacent compute capacity.,https://www.ndrc.gov.cn/xxgk/jd/jd/202202/t20220217_1315795_ext.html,2026-09-03,city
hub-horinger,Inner Mongolia hub,Inner Mongolia,Horinger cluster,Horinger,Inner Mongolia,40.3787,111.8216,National computing hub and data-center cluster,Operational,Energy-proximate northern computing cluster; public reporting describes dense ongoing data-center construction.,https://www.ndrc.gov.cn/xxgk/jd/jd/202202/t20220217_1315795_ext.html,2026-09-03,city
hub-qingyang,Gansu hub,Gansu,Qingyang cluster,Qingyang,Gansu,35.7091,107.6436,National computing hub and data-center cluster,Operational,Western computing cluster designed to receive workloads from eastern demand centers.,https://www.ndrc.gov.cn/xxgk/jd/jd/202202/t20220217_1315795_ext.html,2026-09-03,city
hub-zhongwei,Ningxia hub,Ningxia,Zhongwei cluster,Zhongwei,Ningxia,37.5003,105.1968,National computing hub and data-center cluster,Operational,Major western cloud and data-center concentration with access to lower-cost energy.,https://www.ndrc.gov.cn/xxgk/jd/jd/202202/t20220217_1315795_ext.html,2026-09-03,city
hub-guian,Guizhou hub,Guizhou,Gui'an cluster,Gui'an New Area,Guizhou,26.4559,106.4651,National computing hub and data-center cluster,Operational,Southwestern national computing cluster supporting storage and batch-compute workloads.,https://www.ndrc.gov.cn/xxgk/jd/jd/202202/t20220217_1315795_ext.html,2026-09-03,city
hub-tianfu,Chengdu–Chongqing hub,Chengdu–Chongqing,Tianfu cluster,Chengdu,Sichuan,30.4044,104.0746,National computing hub and data-center cluster,Operational,Chengdu-side cluster in the dual-node southwestern national computing hub.,https://www.ndrc.gov.cn/xxgk/jd/jd/202202/t20220217_1315795_ext.html,2026-09-03,metro
hub-chongqing,Chengdu–Chongqing hub,Chengdu–Chongqing,Chongqing cluster,Chongqing,Chongqing,29.4316,106.9123,National computing hub and data-center cluster,Operational,Chongqing-side cluster in the dual-node southwestern national computing hub.,https://www.ndrc.gov.cn/xxgk/jd/jd/202202/t20220217_1315795_ext.html,2026-09-03,metro
hub-shaoguan,Greater Bay Area hub,Greater Bay Area,Shaoguan cluster,Shaoguan,Guangdong,24.8104,113.5972,National computing hub and data-center cluster,Operational,Inland Guangdong cluster supporting compute demand from Guangzhou Shenzhen and the Greater Bay Area.,https://www.ndrc.gov.cn/xxgk/jd/jd/202202/t20220217_1315795_ext.html,2026-09-03,city
hub-wuhu,Yangtze River Delta hub,Yangtze River Delta,Wuhu cluster,Wuhu,Anhui,31.3529,118.4331,National computing hub and data-center cluster,Operational,Anhui cluster positioned to serve the high-demand Yangtze River Delta.,https://www.ndrc.gov.cn/xxgk/jd/jd/202202/t20220217_1315795_ext.html,2026-09-03,city
hub-yangtze-eco,Yangtze River Delta hub,Yangtze River Delta,Integrated ecological green development demonstration-zone cluster,Shanghai–Jiangsu–Zhejiang border,China,31.0500,121.0500,National computing hub and data-center cluster,Operational,Cross-provincial eastern cluster serving the Shanghai Jiangsu and Zhejiang digital economy.,https://www.ndrc.gov.cn/xxgk/jd/jd/202202/t20220217_1315795_ext.html,2026-09-03,region
