id,network_id,source_node,target_node,confidence,relationship,notes,source_url
chinanet-bj-sh,chinanet,beijing,shanghai,logical,backbone connectivity,"Logical link between documented national core hubs; not a physical route.",https://www.cac.gov.cn/2014-02/26/c_126195316.htm
chinanet-sh-gz,chinanet,shanghai,guangzhou,logical,backbone connectivity,"Logical link between documented national core hubs; not a physical route.",https://www.cac.gov.cn/2014-02/26/c_126195316.htm
chinanet-gz-bj,chinanet,guangzhou,beijing,logical,backbone connectivity,"Logical link between documented national core hubs; not a physical route.",https://www.cac.gov.cn/2014-02/26/c_126195316.htm
china169-bj-sh,china169,beijing,shanghai,logical,backbone connectivity,"Logical link between documented national core hubs; not a physical route.",https://www.cac.gov.cn/2014-02/26/c_126195316.htm
china169-sh-gz,china169,shanghai,guangzhou,logical,backbone connectivity,"Logical link between documented national core hubs; not a physical route.",https://www.cac.gov.cn/2014-02/26/c_126195316.htm
china169-gz-bj,china169,guangzhou,beijing,logical,backbone connectivity,"Logical link between documented national core hubs; not a physical route.",https://www.cac.gov.cn/2014-02/26/c_126195316.htm
cmnet-bj-sh,cmnet,beijing,shanghai,logical,backbone connectivity,"Logical link between documented national core hubs; not a physical route.",https://www.cac.gov.cn/2014-02/26/c_126195316.htm
cmnet-sh-gz,cmnet,shanghai,guangzhou,logical,backbone connectivity,"Logical link between documented national core hubs; not a physical route.",https://www.cac.gov.cn/2014-02/26/c_126195316.htm
cmnet-gz-bj,cmnet,guangzhou,beijing,logical,backbone connectivity,"Logical link between documented national core hubs; not a physical route.",https://www.cac.gov.cn/2014-02/26/c_126195316.htm
cn2-bj-sh,cn2,beijing,shanghai,logical,core connectivity,"Logical CN2 core; physical alignment unavailable.",https://www.ctamericas.com/wp-content/uploads/2023/02/China-Telecom-Global-Infrastructure-Map.pdf
cn2-sh-gz,cn2,shanghai,guangzhou,logical,core connectivity,"Logical CN2 core; physical alignment unavailable.",https://www.ctamericas.com/wp-content/uploads/2023/02/China-Telecom-Global-Infrastructure-Map.pdf
cuii-bj-sh,cuii,beijing,shanghai,logical,core connectivity,"Logical premium-network core; physical alignment unavailable.",https://www.cac.gov.cn/2014-02/26/c_126195316.htm
cuii-sh-gz,cuii,shanghai,guangzhou,logical,core connectivity,"Logical premium-network core; physical alignment unavailable.",https://www.cac.gov.cn/2014-02/26/c_126195316.htm
cmi-bj-sh,cmi,beijing,shanghai,logical,core connectivity,"Logical domestic CMI connectivity; physical alignment unavailable.",https://mainwebapi.cmi.chinamobile.com/uploads/template/202310273c5756c2ad770d0dda80d752ccf4112a.pdf
cmi-sh-gz,cmi,shanghai,guangzhou,logical,core connectivity,"Logical domestic CMI connectivity; physical alignment unavailable.",https://mainwebapi.cmi.chinamobile.com/uploads/template/202310273c5756c2ad770d0dda80d752ccf4112a.pdf
broadnet-bj-sh,china-broadnet,beijing,shanghai,logical,interconnection,"Logical connection between national backbone interconnection points.",https://www.nrta.gov.cn/art/2018/6/12/art_114_38173.html
